# IRIS-served broadband stations in the Japan bbox (30–46N, 128–146E), BH?/HH?,
# queried 2026-06-28 for the 2024-05 month. This is the FALLBACK pool ONLY
# (F-net network BO is NOT served by IRIS — see DATA_SCOPING.md §2.3). Not the
# F-net operational target. net,sta,lat,lon,sample_rates_hz
net,sta,lat,lon,sample_rates_hz
G,INU,35.350,137.029,20
IC,MDJ,44.618,129.593,20|40|100
II,ERM,42.015,143.157,20|40
IM,MJAR,36.542,138.209,80
IU,MAJO,36.546,138.204,40|100
JP,JEM,42.019,143.154,20
JP,JEW,42.843,141.446,20
JP,JGF,35.604,137.354,20
JP,JHJ2,33.115,139.814,20
JP,JHS,35.002,133.114,20
JP,JKA,44.119,142.593,20
JP,JMM,37.869,140.790,20
JP,JMN,33.731,133.876,20
JP,JNU,33.125,130.877,20
JP,JSD,38.040,138.257,20
JP,JSG,34.678,138.183,20
JP,JSU,31.509,130.453,20
JP,JTM,40.790,141.065,20
JP,JTU,34.528,129.396,20
JP,JWT,35.286,135.399,20
JP,JYT,36.231,140.191,20
KS,BUS3,35.249,129.112,20
KS,SH2B,38.269,128.252,20
PS,INU,35.348,137.029,20
PS,TSK,36.211,140.110,100
